agent_id,charge_off_within_3_months,charge_off_within_6_months,charge_off_within_9_months,charge_off_within_12_months,credit_balance_mean,credit_balance_max,credit_balance_last,credit_utilization_mean,credit_utilization_max,credit_utilization_last,interest_rate_mean,interest_rate_last,current_missed_payments_sum,current_missed_payments_max,current_missed_payments_last,timestamp_diff,amount_sum_x,amount_mean_x,amount_max_x,amount_min,amount_count_x,amount_last,payment_frequency,amount_sum_y,amount_mean_y,amount_max_y,amount_count_y,online_sum,online_mean,Misc,Retail,Business,Clothing,Agricultural,Contractor,Transportation,Utility,Professional,approved_count,declined_count
0,0,0,0,0,3054.5338328835405,4964.111415301122,2505.991415301122,0.6237472527472527,0.993,0.501,0.2098658484197036,0.2098658484197036,0,0,0,90,5878.93,2939.465,2953.11,2925.82,2.0,2953.11,0.05714285714285714,10812.48,124.28137931034482,289.45,87.0,35.0,0.40229885057471265,19.0,7.0,5.0,8.0,8.0,7.0,15.0,11.0,7.0,66.0,21.0
3,0,0,0,0,1826.2062241388162,1990.626004358596,1990.626004358596,0.9277582417582417,0.995,0.995,0.21118528947223789,0.2111852894722379,0,0,0,90,2670.97,890.3233333333333,925.06,848.27,3.0,925.06,0.06666666666666667,47134.159999999996,228.80660194174754,591.81,206.0,88.0,0.42718446601941745,52.0,27.0,53.0,12.0,20.0,5.0,11.0,10.0,16.0,23.0,183.0
6,0,0,0,0,649.1060374888558,1279.9934001262188,321.0834001262187,0.22727472527472525,0.439,0.107,0.18692909820975254,0.1872038234844778,0,0,0,90,2965.4,370.675,612.19,227.14,8.0,264.32,0.11267605633802817,2748.7400000000002,30.541555555555558,107.45,90.0,47.0,0.5222222222222223,60.0,8.0,0.0,7.0,4.0,0.0,5.0,2.0,4.0,90.0,0.0
7,0,0,0,0,1621.5233666318763,1984.6640259725357,1941.3440259725344,0.8509230769230769,0.998,0.971,0.21625222843539824,0.2162522284353982,0,0,0,90,7318.15,1045.45,1187.64,427.18,7.0,1187.64,0.0945945945945946,36366.21,227.2888125,591.81,160.0,77.0,0.48125,41.0,17.0,36.0,14.0,16.0,10.0,8.0,10.0,8.0,48.0,112.0
8,0,0,0,0,5748.472329281484,9973.203428182584,7835.223428182584,0.5848461538461538,0.997,0.784,0.21970068806225124,0.2199754133369765,1,1,0,90,9163.48,4581.74,5932.98,3230.5,2.0,3230.5,0.3333333333333333,27102.78,218.5708064516129,591.81,124.0,55.0,0.4435483870967742,38.0,9.0,34.0,11.0,8.0,3.0,9.0,6.0,6.0,75.0,49.0
11,0,0,0,0,742.5803044352541,996.2255791605288,989.1655791605288,0.7575824175824175,0.996,0.989,0.2486886936600517,0.2486886936600517,0,0,0,90,1368.52,342.13,463.5,193.71,4.0,462.74,0.05194805194805195,9746.98,77.97583999999999,591.81,125.0,60.0,0.48,70.0,10.0,9.0,12.0,6.0,2.0,5.0,6.0,5.0,65.0,60.0
12,0,0,0,0,1810.602835681506,4982.878440077111,4982.878440077111,0.395021978021978,0.997,0.997,0.2426300878513348,0.2426300878513348,0,0,0,90,14976.35,1872.04375,3933.07,208.62,8.0,1483.24,0.1509433962264151,21787.6,229.34315789473683,591.81,95.0,33.0,0.3473684210526316,15.0,10.0,33.0,7.0,13.0,5.0,4.0,7.0,1.0,85.0,10.0
13,0,0,0,0,2679.6687189893128,4994.396740967336,4994.396740967336,0.5412197802197802,0.999,0.999,0.20781507721053963,0.2080898024852649,0,0,0,90,2415.12,603.78,990.43,337.78,4.0,990.43,0.2,8813.85,95.80271739130436,289.45,92.0,36.0,0.391304347826087,32.0,5.0,2.0,12.0,5.0,13.0,6.0,10.0,7.0,62.0,30.0
14,0,0,0,0,805.4754393822774,1322.7425822394205,544.402582239421,0.0830879120879121,0.133,0.054,0.22194676724146964,0.2222214925161949,0,0,0,90,2318.21,463.642,619.43,302.59,5.0,336.11,0.06578947368421052,2272.7200000000003,25.252444444444446,107.45,90.0,52.0,0.5777777777777777,67.0,7.0,0.0,4.0,2.0,0.0,4.0,2.0,4.0,90.0,0.0
15,0,0,0,0,4191.576859999939,4985.454002857082,4985.454002857082,0.8513406593406593,0.997,0.997,0.19832376670017024,0.1985984919748955,16,1,0,90,5931.5599999999995,1977.1866666666665,2312.39,1309.75,3.0,2312.39,0.05,45025.32,232.08927835051546,591.81,194.0,91.0,0.4690721649484536,45.0,22.0,54.0,13.0,22.0,8.0,13.0,8.0,9.0,39.0,155.0
